Sex,Age,Domicile,Major,GPA,SECA1,SECA2,SECA3,SECA4,SECA5,SECA6,SECA7,SECA8,SECA9,SECA10,SECA11,SECA12,SECA13,SECA14,SECA15,SECA16,SECA17,SECA18,SECA19,SECA20,SECA21
Male,18,Jawa,IPA,3.55,3,3,3,4,3,3,3,4,4,4,4,4,4,3,3,2,2,2,2,2,2
Male,21,Jawa,IPA,3.56,4,4,4,2,2,2,3,2,2,4,5,5,4,4,3,3,3,3,2,2,2
Male,21,Jawa,IPA,4,3,4,3,3,3,3,3,3,3,3,2,2,3,3,3,1,2,2,3,3,4
Female,23,Luar Jawa,IPA,4,5,5,5,5,5,5,4,4,4,5,5,5,3,4,3,1,2,1,5,4,5
Male,19,Luar Jawa,IPA,3.78,4,4,3,4,4,3,4,4,5,3,3,4,4,4,4,2,3,3,4,4,4
Female,19,Luar Jawa,IPS,3.57,3,3,2,4,2,3,3,2,2,4,3,3,2,2,3,1,2,2,5,5,4
Male,19,Jawa,IPA,3.85,3,4,3,2,3,2,2,2,3,4,4,3,4,4,4,3,4,4,2,3,2
Female,19,Jawa,IPS,3.63,3,3,3,3,3,3,3,4,3,4,3,4,4,3,3,3,3,3,3,3,3
Male,19,Jawa,IPS,3.7,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,5,4,4,4,4,4
Male,18,Jawa,IPA,3.2,4,4,4,3,4,3,2,2,2,3,3,3,3,2,3,2,3,2,4,3,3
Female,19,Luar Jawa,IPS,2.75,3,3,3,4,4,3,5,5,5,3,3,3,5,3,3,4,5,4,3,3,2
Male,21,Jawa,IPS,3.68,4,4,3,5,5,5,4,4,5,4,4,5,5,4,5,4,3,3,4,3,3
Male,18,Luar Jawa,IPS,3.78,4,4,3,3,3,2,4,5,5,3,3,2,4,4,3,3,4,3,3,3,3
Female,19,Luar Jawa,IPA,3.71,3,3,3,4,4,3,4,4,4,4,4,4,4,3,4,4,4,3,4,4,5
Male,19,Jawa,IPS,3.8,4,5,4,4,3,4,4,4,5,4,5,5,3,4,4,4,5,4,3,3,3
Female,19,Jawa,IPA,3.39,4,4,4,4,4,4,3,4,3,4,4,4,4,3,4,3,4,4,3,4,4
Male,18,Jawa,IPA,3,4,4,3,3,4,4,4,5,4,5,5,5,5,4,4,4,4,2,4,4,4
Male,19,Jawa,IPA,3.56,4,3,3,3,4,3,4,4,4,4,4,4,4,4,4,3,3,2,4,4,4
Male,21,Jawa,IPS,2.7,3,3,2,1,2,1,3,3,4,3,3,3,3,2,3,1,2,1,4,5,4
Male,19,Luar Jawa,IPS,3.5,3,3,3,4,4,3,5,5,5,5,5,4,4,4,4,4,5,4,3,3,3
Male,19,Jawa,IPA,3.44,3,4,3,4,4,3,3,4,4,5,5,5,3,3,3,4,4,4,3,4,4
Female,19,Luar Jawa,IPA,3.73,4,3,4,2,3,2,3,4,4,3,3,2,4,4,4,2,2,3,3,4,4
Male,20,Luar Jawa,IPA,3.91,5,5,4,3,3,3,4,5,5,4,4,5,4,4,5,4,4,4,4,3,4
Female,19,Jawa,IPA,3.03,4,4,4,5,5,4,4,4,4,4,3,4,5,4,4,4,5,5,4,3,3
Male,18,Jawa,Others,3.7,4,4,3,3,4,4,4,4,4,4,4,5,4,4,3,4,4,4,4,3,3
Female,19,Jawa,Others,3.9,4,4,4,3,4,4,2,2,2,4,3,4,4,4,3,4,4,4,4,4,2
Female,19,Jawa,IPA,3.92,4,4,2,3,4,3,3,4,2,1,1,1,4,3,5,4,4,4,1,1,2
Female,20,Jawa,IPA,3.65,4,3,3,3,4,3,3,4,4,5,5,4,3,3,4,4,5,4,4,3,4
Female,19,Luar Jawa,IPA,3.76,1,1,1,2,3,2,4,4,4,4,4,4,4,3,4,2,3,2,2,2,2
Male,20,Jawa,IPA,2.75,4,3,3,3,4,4,3,4,4,4,4,5,5,4,4,2,3,2,3,4,4
Male,18,Jawa,IPA,3,4,4,3,2,3,2,1,2,2,4,4,4,3,3,3,2,2,2,3,3,4
Male,20,Jawa,IPS,3.3,4,4,2,2,4,2,4,5,5,5,5,5,2,2,2,3,4,4,4,4,4
Female,20,Jawa,Others,3.8,3,4,2,2,3,3,2,3,3,3,3,3,3,2,3,3,3,2,3,3,3
Female,20,Luar Jawa,IPA,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4
Female,20,Luar Jawa,IPA,3.69,3,3,2,3,4,3,2,2,2,2,2,3,2,2,3,3,3,3,2,2,3
Male,19,Jawa,IPA,3.48,3,4,3,4,4,3,4,3,4,3,4,3,4,4,3,4,4,4,4,3,4
Female,19,Luar Jawa,Others,3.78,4,4,4,5,3,3,4,4,3,3,3,2,3,4,5,2,4,2,4,4,4
Male,21,Jawa,IPS,3.56,2,3,3,2,2,2,3,4,2,2,2,3,2,2,3,3,4,3,2,2,3
Female,21,Jawa,IPA,3.65,3,3,2,4,3,3,2,3,2,3,3,3,3,4,3,2,3,3,3,3,3
Male,23,Jawa,IPS,3,4,4,3,3,3,2,4,5,5,3,2,2,3,4,4,2,3,4,3,3,2
Male,20,Jawa,Others,3.65,4,4,4,5,5,4,2,2,3,5,3,5,4,4,4,3,4,3,2,3,3
Female,20,Jawa,IPA,3.45,3,3,3,3,4,3,3,4,3,3,3,4,3,3,3,3,4,3,3,3,3
Female,19,Jawa,Others,3.6,4,3,3,5,5,5,3,4,3,4,4,3,3,3,4,4,4,5,5,5,5
Female,19,Jawa,IPS,3.75,3,3,4,2,2,2,5,5,5,5,4,5,3,3,3,3,4,3,3,3,4
Male,19,Jawa,IPS,3.2,3,3,2,3,3,3,4,4,4,5,4,4,5,4,4,3,3,2,3,3,2
Female,19,Luar Jawa,IPA,3.77,4,4,3,4,4,3,3,4,3,4,4,4,3,3,4,3,4,3,3,4,4
Male,20,Luar Jawa,IPA,3.4,4,3,4,3,4,3,2,3,3,4,3,5,4,3,3,3,3,4,3,3,4
Male,19,Luar Jawa,IPS,3.65,3,4,3,2,4,3,3,4,4,3,2,3,2,3,3,3,4,3,4,3,2
Male,20,Luar Jawa,IPA,3.2,4,4,3,3,2,3,4,3,3,3,3,4,3,3,4,3,4,4,4,4,4
Female,21,Jawa,Others,3.45,3,4,4,5,5,4,3,4,4,5,5,5,5,5,5,4,5,4,4,5,4
Female,22,Jawa,Others,3.25,4,4,5,5,5,4,4,5,5,4,4,5,4,5,5,2,2,3,4,5,4
Female,19,Jawa,IPA,3.22,4,3,3,3,4,4,3,3,4,3,2,2,4,4,4,2,3,2,4,3,3
Female,19,Jawa,Others,3.64,3,4,3,4,3,4,3,4,4,4,3,3,3,3,4,4,4,3,4,3,3
Male,19,Luar Jawa,IPA,4,4,3,2,2,3,2,3,4,4,3,4,4,2,3,3,4,5,4,3,3,4
Female,21,Jawa,IPA,3.54,4,4,4,4,5,4,4,4,4,5,4,4,3,4,5,3,4,3,4,4,3
Female,21,Jawa,IPS,3.7,4,4,3,4,5,4,4,5,5,4,4,4,5,4,4,3,4,4,4,4,4
Female,18,Jawa,IPS,3.74,4,4,3,4,5,4,4,3,4,2,2,3,4,4,4,2,3,3,3,3,3
Male,18,Jawa,IPA,4,4,4,4,3,4,4,5,5,5,5,4,5,5,5,5,2,3,3,4,5,4
Female,19,Jawa,Others,3.14,3,3,2,2,3,3,4,4,5,4,4,3,2,2,3,2,3,2,3,3,3
Female,21,Jawa,IPA,3.43,3,3,4,3,4,2,2,4,3,3,2,3,2,3,3,2,3,2,2,3,4
Female,20,Jawa,Others,3.06,3,5,2,2,3,2,2,2,2,3,4,4,3,3,3,2,3,2,5,3,3
Female,17,Jawa,IPA,3.67,3,4,3,1,1,1,4,5,5,5,5,5,3,3,4,3,3,3,1,1,2
Female,19,Jawa,IPA,3.5,3,3,3,3,3,3,3,4,5,4,4,4,4,3,4,3,3,3,4,4,4
Male,20,Jawa,IPA,3.55,3,4,3,4,4,4,4,4,5,4,3,3,3,4,3,3,4,3,3,3,3
Female,20,Jawa,IPS,3.69,3,4,4,3,4,3,3,3,4,3,4,3,3,3,3,4,4,3,3,3,2
Female,18,Jawa,IPA,3.85,3,2,2,3,4,3,3,2,2,4,3,3,4,4,5,3,3,2,4,3,5
Female,20,Jawa,IPS,3.75,3,3,4,4,3,4,4,4,4,4,4,3,3,3,3,3,3,3,4,3,3
Female,21,Jawa,IPA,3.63,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3
Male,19,Jawa,Others,3.4,2,5,3,4,5,3,1,1,1,4,3,5,4,4,3,4,4,2,4,5,3
Male,18,Luar Jawa,IPA,3.7,3,3,3,4,3,4,4,4,4,3,3,3,3,3,4,3,3,3,3,3,2
Male,19,Luar Jawa,IPS,3.75,3,3,2,4,5,2,3,5,4,5,3,4,3,4,3,3,5,5,5,3,3
Female,18,Jawa,IPS,3.86,2,4,4,4,2,5,5,5,5,1,1,1,4,3,5,5,5,4,5,5,3
Male,20,Jawa,IPS,3,4,5,4,3,4,5,4,5,4,5,5,5,3,4,3,2,3,2,1,1,1
Female,19,Jawa,IPA,3.26,3,4,4,4,5,4,4,4,5,2,3,3,4,3,4,4,5,4,4,3,5
Male,19,Jawa,Others,3,3,3,4,5,3,5,2,5,5,4,5,5,3,5,5,4,5,4,3,2,2
Male,21,Luar Jawa,IPA,3.13,4,5,3,3,4,2,3,5,3,4,4,4,3,3,4,4,5,4,3,4,5
Female,19,Jawa,IPA,3.35,4,4,3,2,3,2,3,5,3,3,2,3,3,3,4,2,3,1,3,3,3
Female,18,Luar Jawa,IPA,3.86,4,4,4,4,5,4,3,5,5,5,5,4,5,3,5,2,2,1,2,2,1
Female,20,Jawa,IPA,3.29,3,3,3,4,4,3,3,4,4,5,3,5,3,3,4,3,3,4,4,4,3
Female,19,Jawa,IPS,3.66,3,3,2,2,3,2,2,4,4,4,4,4,3,3,3,3,4,4,3,3,3
Male,18,Luar Jawa,IPS,3.86,3,4,2,2,4,3,3,3,4,4,4,3,3,3,3,2,4,3,4,3,3
Male,23,Luar Jawa,IPA,3,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,2,3,3,3
Female,19,Jawa,IPS,3.4,3,3,3,3,4,3,3,2,3,5,5,5,4,3,3,2,4,3,3,3,3
Female,19,Luar Jawa,IPA,3.15,4,3,2,3,3,2,3,3,4,5,4,4,4,3,4,3,4,4,4,4,3
Female,20,Jawa,IPS,3.65,4,4,4,4,5,3,3,4,3,4,4,5,4,4,4,4,4,4,4,4,4
Male,20,Jawa,IPA,3.3,3,4,3,2,2,1,4,5,5,5,5,5,5,3,4,5,5,5,5,3,2
Male,19,Jawa,IPA,3.3,2,4,3,5,2,4,4,4,2,5,4,5,4,3,3,2,4,2,4,3,4
Male,19,Jawa,IPA,3.54,3,4,3,2,4,3,2,4,3,3,3,5,3,3,4,2,2,3,3,2,4
Female,18,Jawa,IPA,3.17,3,4,2,2,4,2,3,4,4,4,4,2,2,3,4,2,3,2,5,3,5
Male,21,Jawa,Others,3.38,3,4,2,2,3,2,3,4,4,3,3,4,3,3,3,2,4,4,3,2,3
Male,22,Luar Jawa,IPS,3.15,4,3,4,3,3,4,4,4,4,4,4,4,5,5,4,5,4,4,4,4,4
Female,19,Luar Jawa,IPS,3.7,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3
Male,19,Jawa,Others,3.86,3,3,3,2,4,4,3,3,4,4,4,4,4,2,3,2,3,3,4,4,4
Female,19,Luar Jawa,IPA,4,4,3,3,3,4,4,3,5,5,5,4,5,4,4,5,4,5,4,4,4,5
Male,18,Jawa,Others,2.95,5,5,5,5,4,3,3,4,4,4,3,5,3,4,4,3,4,3,3,4,3
Female,18,Jawa,IPA,3.56,5,5,4,4,4,4,3,4,3,5,5,4,4,4,4,4,4,3,4,4,3
Male,23,Jawa,Others,3.72,3,3,3,4,4,3,3,2,4,4,3,3,4,3,3,3,3,2,3,3,5
Male,20,Jawa,IPA,2.82,4,4,3,2,3,2,2,2,3,4,5,5,5,4,5,4,4,5,2,2,3
Female,19,Luar Jawa,IPA,3.6,4,4,2,2,2,3,2,4,4,2,2,2,3,3,3,3,3,2,3,3,4
Female,19,Jawa,IPS,3.44,3,4,3,2,3,2,4,3,4,5,5,5,3,4,3,5,5,3,5,5,2
Female,20,Luar Jawa,IPA,3.8,4,4,3,3,4,3,3,4,5,3,3,2,3,3,3,3,4,3,4,4,3
Male,17,Luar Jawa,IPA,2.9,3,3,3,3,4,3,3,3,3,3,3,4,4,3,4,3,3,2,3,3,3
Female,19,Luar Jawa,IPA,3.74,5,4,3,3,3,3,3,5,5,5,4,4,3,3,3,3,3,3,3,3,2
Female,18,Jawa,IPS,2.79,4,4,3,3,4,4,3,3,4,3,4,4,3,3,3,4,3,3,3,3,3
Male,20,Jawa,Others,3.8,4,3,3,5,4,4,5,4,4,5,5,4,5,4,4,5,5,4,5,4,3
Female,19,Jawa,IPA,3.79,4,4,3,4,4,4,3,2,2,4,4,4,3,4,4,4,4,4,5,5,3
Female,21,Jawa,IPA,3.2,3,3,2,3,3,2,2,4,3,3,2,3,2,4,4,2,3,2,4,4,4
Female,18,Jawa,Others,3.73,4,4,5,4,3,2,4,5,4,4,5,5,4,3,4,3,3,2,3,5,5
Male,19,Luar Jawa,IPA,2.86,4,3,3,2,2,2,2,3,4,5,5,5,3,3,2,3,2,3,4,2,3
Female,19,Luar Jawa,IPA,3.61,3,3,2,3,3,3,3,2,4,4,4,4,5,5,3,2,4,2,3,2,4
Male,21,Luar Jawa,IPA,3.33,5,4,5,5,5,4,4,4,3,4,5,5,4,5,5,3,4,4,5,3,2
Male,18,Jawa,IPS,3.78,4,4,3,4,4,3,3,4,4,4,4,4,4,3,3,3,4,2,4,3,3
Female,19,Jawa,IPA,3,3,3,4,3,4,3,3,4,3,4,3,4,3,3,3,3,3,3,3,3,3
Male,19,Jawa,IPA,3.37,4,4,3,3,3,3,3,4,3,4,3,3,3,3,4,4,4,4,3,3,5
Female,18,Luar Jawa,IPA,3.86,3,4,2,3,4,4,3,4,3,4,3,4,5,4,5,5,5,2,4,4,5
Female,19,Jawa,IPA,3.25,3,2,3,2,4,2,2,4,5,4,4,5,3,4,5,5,4,4,4,3,2
Male,19,Jawa,IPA,3.72,4,3,3,5,5,3,5,5,5,2,4,5,4,4,4,2,2,1,4,4,5
Male,22,Jawa,IPA,3.07,3,4,3,5,5,5,4,5,5,5,4,5,4,4,4,4,5,4,4,3,4
Male,19,Luar Jawa,IPA,3.5,3,4,4,2,2,1,4,4,3,4,4,5,3,4,5,1,2,1,2,4,5
Male,20,Luar Jawa,IPA,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Male,20,Luar Jawa,IPS,3.5,3,4,3,4,3,3,3,4,3,3,4,3,3,4,3,3,3,3,4,3,3
Female,20,Jawa,IPA,3.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Female,20,Jawa,IPS,3.75,3,3,4,3,4,2,3,4,4,4,3,4,2,3,3,2,4,2,2,3,3
Female,19,Jawa,IPA,3.71,4,4,4,4,3,3,4,4,5,4,4,3,3,3,4,3,4,4,4,4,5
Male,20,Jawa,IPS,3.63,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5
Male,19,Jawa,IPA,3.65,4,4,3,4,4,3,3,4,5,3,4,5,4,3,4,3,3,2,4,4,5
Female,20,Jawa,IPS,3.25,5,4,3,4,5,3,3,5,5,4,4,5,5,4,5,5,5,5,4,4,4
Female,21,Jawa,IPA,3.8,4,4,4,4,4,4,4,5,4,4,4,4,5,4,4,4,5,5,5,4,4
Female,18,Jawa,IPA,3.64,4,4,2,2,2,2,2,4,4,2,2,4,3,3,2,2,4,2,4,4,2
Female,19,Jawa,IPS,3.5,3,3,2,4,3,3,3,4,3,2,2,4,4,3,3,2,3,3,3,3,3
Female,19,Jawa,IPA,3.6,3,3,2,3,4,2,3,5,4,3,3,4,2,2,3,2,2,1,4,2,4
Female,19,Jawa,IPA,3.64,3,3,3,3,3,3,3,3,2,3,2,4,3,3,4,3,3,2,4,4,3
Female,18,Jawa,IPA,3.7,4,4,4,3,4,4,3,4,5,3,2,4,2,3,4,4,4,3,3,3,4
Female,18,Jawa,IPA,3.46,4,3,3,2,5,4,5,5,3,5,3,5,4,3,3,3,3,2,3,2,2
Female,19,Jawa,IPA,3.72,4,4,3,5,4,4,4,5,5,5,4,2,4,4,3,4,3,3,4,4,5
Male,23,Jawa,Others,3.83,5,4,5,5,5,4,3,5,5,5,5,4,4,5,5,3,5,5,5,5,4
Female,19,Jawa,IPS,3.7,3,4,3,2,3,2,2,3,2,3,3,4,3,3,3,3,3,3,2,2,3
Female,21,Jawa,IPS,3.58,3,3,3,3,3,3,3,5,4,3,3,3,3,3,3,3,3,2,3,3,3
Female,19,Jawa,Others,3.5,3,3,3,3,4,4,4,4,3,4,4,4,3,3,4,2,3,3,3,3,2
Female,19,Jawa,IPA,3.92,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,3,3,2,4,3,5
Female,21,Luar Jawa,IPA,3.91,4,3,3,3,4,4,3,4,4,5,4,4,3,3,4,3,4,3,3,2,1
Female,18,Jawa,Others,3.53,4,4,2,3,5,4,3,4,4,4,4,5,4,4,5,4,5,4,4,5,2
Female,21,Jawa,IPA,2.89,3,3,3,3,4,3,3,3,4,4,4,3,4,3,4,3,3,2,5,5,4
Female,19,Jawa,IPA,3.87,3,3,3,3,3,2,3,4,5,4,3,5,4,4,4,2,4,3,2,4,4
Female,19,Jawa,IPA,3.4,5,4,3,4,5,4,4,5,4,4,4,5,5,5,5,5,5,2,5,5,4
Male,21,Luar Jawa,IPA,3.38,4,4,4,4,4,3,4,5,5,4,4,4,5,5,4,3,4,3,3,3,3
Male,20,Jawa,IPA,3.5,3,3,3,3,3,3,3,5,5,3,3,4,3,3,3,5,5,5,3,3,5
Male,20,Luar Jawa,IPA,3.84,3,4,4,3,4,3,3,4,4,4,5,5,3,3,4,4,5,5,3,3,3
Female,20,Jawa,IPS,3.8,3,3,2,2,4,2,3,5,5,4,3,3,3,3,3,3,4,2,3,3,3
Female,18,Jawa,Others,3.6,3,2,3,3,4,4,3,4,2,3,4,3,3,3,4,3,3,2,4,4,5
Female,18,Luar Jawa,IPS,2.94,3,3,2,5,5,5,5,5,5,4,3,5,3,3,5,4,5,3,3,3,2
Male,22,Jawa,Others,2.6,4,5,5,3,3,2,3,4,4,3,3,5,3,3,3,1,2,1,3,5,4
Female,19,Luar Jawa,IPA,3.59,3,4,4,3,2,2,1,2,1,1,1,1,3,4,4,2,1,1,4,3,5
Female,19,Luar Jawa,IPA,3,3,3,2,2,2,2,2,3,4,3,3,2,3,3,4,3,4,3,5,3,2
Male,21,Jawa,IPA,3.78,4,5,4,5,5,3,3,3,2,4,4,3,5,5,4,3,4,3,5,5,5
Male,19,Jawa,IPS,3.2,4,3,2,3,3,3,3,5,4,4,4,5,3,4,5,4,4,5,5,2,3
Male,19,Luar Jawa,IPS,2,4,4,3,3,3,3,3,3,3,3,2,3,3,3,3,2,3,2,3,3,3
Male,20,Jawa,IPS,2.97,4,2,2,1,2,2,3,4,5,2,2,2,3,3,3,4,2,2,2,3,2
Male,19,Jawa,Others,3,2,2,2,2,5,2,5,2,4,3,2,2,3,3,4,1,2,2,2,1,1
Male,19,Jawa,IPA,3.34,2,2,1,3,2,3,3,3,3,2,2,2,2,2,1,2,3,2,3,3,2
Male,18,Jawa,IPA,3.1,4,3,3,4,4,2,4,5,5,4,3,4,3,4,3,2,3,3,4,4,4
Female,19,Jawa,IPA,3.67,4,4,4,3,4,3,4,4,4,4,4,4,3,3,4,4,5,3,3,2,4
Female,20,Luar Jawa,IPA,3.71,3,3,3,4,4,3,3,2,2,4,4,4,4,3,4,3,4,3,4,3,4
Male,18,Luar Jawa,IPS,3.74,4,3,2,4,4,4,3,5,5,5,3,5,3,3,5,2,5,5,3,1,1
Female,18,Jawa,IPA,3.8,3,4,3,4,4,4,3,3,2,2,3,4,4,4,4,3,4,2,4,4,4
Female,19,Jawa,IPA,3.74,3,4,3,4,4,4,4,3,4,3,4,3,4,4,4,4,3,4,4,4,4
Female,19,Jawa,Others,3.45,2,2,2,3,4,3,2,1,1,3,3,2,5,5,4,2,2,1,3,2,1
Female,20,Jawa,Others,3.4,3,3,3,3,3,3,1,2,1,1,2,3,2,2,3,1,1,1,2,2,3
Female,19,Luar Jawa,Others,3.34,3,3,3,3,4,3,2,4,4,4,4,3,4,3,3,2,3,3,4,3,4
Female,20,Jawa,IPS,3.16,4,3,3,3,3,3,4,4,4,4,3,2,3,3,3,3,2,3,3,3,3
Female,20,Jawa,IPA,3.33,4,4,3,3,4,3,4,5,5,4,4,4,5,4,4,2,5,5,1,2,4
Female,19,Jawa,IPA,3.3,3,4,3,4,5,3,3,4,4,4,3,4,3,3,3,3,4,2,3,3,3
Female,18,Jawa,IPA,3.9,4,4,4,3,5,4,3,2,3,2,2,3,4,4,4,4,3,1,5,4,2
Male,19,Jawa,Others,3,3,4,4,3,4,4,4,3,4,5,4,5,4,4,4,4,3,3,3,3,4
Male,18,Luar Jawa,IPS,3.33,4,3,3,3,5,2,3,5,5,3,3,5,3,3,2,2,3,3,4,2,3
Male,19,Luar Jawa,IPA,3.8,3,3,2,1,2,1,2,2,2,4,4,3,1,1,2,2,2,2,2,2,3
Female,18,Luar Jawa,IPA,3.47,3,3,3,4,5,3,3,4,2,4,2,4,3,3,4,2,3,2,2,2,5
Female,20,Luar Jawa,IPS,3.54,2,3,4,3,4,3,4,3,4,3,2,4,4,3,4,2,3,3,4,4,2
Male,19,Jawa,IPS,3.4,3,2,2,3,4,3,3,3,4,5,4,4,3,3,3,4,4,4,3,3,3
Male,19,Jawa,IPS,3.2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3
Female,19,Jawa,IPA,3.13,4,3,3,5,4,4,2,5,5,3,2,5,2,3,4,3,5,3,5,4,2
Male,19,Jawa,IPS,3.4,4,5,3,2,3,2,2,4,5,4,3,3,4,3,4,3,3,2,3,4,4
Male,18,Jawa,IPS,3.3,4,4,4,4,3,3,5,5,5,4,4,3,4,4,3,2,5,3,4,4,3
Female,19,Luar Jawa,IPA,3.66,5,4,5,5,5,4,5,5,5,5,4,5,5,4,4,4,4,4,5,5,4
Female,18,Luar Jawa,IPA,3.65,3,4,3,2,5,3,3,3,3,5,2,2,3,4,5,4,3,3,3,3,3
Female,20,Jawa,IPA,3.5,4,4,3,3,4,3,3,5,5,3,4,4,3,4,3,4,5,2,3,3,3
Male,20,Jawa,IPA,3.7,3,3,2,4,3,2,4,5,5,5,3,5,2,3,3,2,4,2,2,2,5
Female,19,Jawa,IPA,3.56,4,4,3,5,3,2,3,5,5,5,5,3,4,3,3,4,5,4,4,3,4
Male,18,Jawa,IPA,3.3,4,2,3,3,3,1,1,1,1,3,4,3,2,4,4,2,3,2,5,5,4
Male,20,Jawa,IPA,3.7,4,3,3,4,4,4,4,4,5,4,4,4,4,4,4,3,4,4,3,4,4
Female,18,Luar Jawa,IPA,3.9,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4
Male,21,Jawa,IPA,3.54,5,5,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4
Female,20,Jawa,Others,3.87,5,4,5,3,4,3,5,5,5,5,4,3,3,4,4,3,4,2,4,3,4
Male,19,Luar Jawa,IPS,3.2,3,3,4,3,3,3,3,3,3,4,4,5,3,3,4,4,4,3,3,4,3
Male,19,Jawa,IPA,3.89,4,4,4,4,4,4,4,3,5,3,3,5,5,5,5,4,5,4,4,4,4
Female,19,Luar Jawa,Others,3,4,3,3,4,4,4,4,4,4,3,3,2,4,3,3,3,4,3,4,4,4
Male,19,Luar Jawa,IPS,3.7,5,4,3,3,2,2,3,4,4,5,5,5,4,4,3,3,4,5,3,3,3
Female,19,Jawa,IPA,3.5,4,3,2,3,4,4,4,5,5,5,4,5,3,3,3,4,3,2,4,3,4
Male,19,Luar Jawa,IPA,3.02,3,3,4,2,2,3,2,5,5,4,4,5,3,3,3,1,2,2,5,3,2
Female,19,Jawa,IPA,3.65,3,3,3,3,4,3,4,5,5,4,4,4,4,4,3,4,4,4,3,4,3
Female,17,Luar Jawa,IPS,3,4,3,3,2,2,2,3,2,3,3,3,5,4,4,4,3,3,3,5,2,4
Female,20,Jawa,IPA,3.9,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4
Male,20,Luar Jawa,IPA,3.1,4,4,4,3,4,4,3,5,4,4,4,5,4,4,4,3,4,3,4,4,4
Female,20,Luar Jawa,IPA,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
